code,name_full,name_short,name_abbrev,principal_activities,industry_group_name,sector_name,listing_date,delisting_date,web_address,mailing_address,phone_number,fax_number,registry_name,registry_address,registry_phone_number,foreign_exempt,logo_image_url,primary_share_code,recent_announcement,products,latest_annual_reports_id,latest_annual_reports_release_date,latest_annual_reports_document_date,latest_annual_reports_url,latest_annual_reports_title,is_latest_annual_reports_market_sensitive,latest_annual_reports_no_of_pages,isin_code,product_desc,last_price,open_price,day_high_price,day_low_price,change_price,change_in_percent,volume,bid_price,offer_price,previous_close_price,previous_day_percentage_change,year_high_price,year_high_date,year_low_price,year_low_date,last_trade_date,price_to_earning_ratio,earning_per_share,average_daily_volume,annual_dividend_yield,market_cap,number_of_shares,deprecated_market_cap,deprecated_number_of_shares,suspended,indices_index_code,last_dividend_announce_date,last_dividend_ex_date,last_dividend_payable_date,last_dividend_record_date,last_dividend_amount_in_dollars,last_dividend_raw_franked_percentage,last_dividend_type,last_dividend_comments,last_dividend_books_close_date,fundamental_data_date
14D,1414 DEGREES LIMITED,1414DEGREE,1414 DEGREES LIMITED,"Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.",Capital Goods,Industrials,2018-09-12T00:00:00+1000,,http://www.1414degrees.com.au,"10 Greenhill Road, WAYVILLE, SA, AUSTRALIA, 5034",08 8357 8273,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,false,,14D,true,"""shares""",02141333,2019-08-30T14:06:18+1000,2019-08-30T14:01:21+1000,http://www.asx.com.au/asxpdf/20190830/pdf/44827sqvjk52zp.pdf,Appendix 4E & 2019 Annual Report,true,43,AU0000010696,Ordinary Fully Paid,0.155,0.165,0.17,0.155,-0.005,-3.125%,169260,0.155,0.165,0.16,6.667%,0.27,2019-08-13T00:00:00+1000,0.06,2020-06-18T00:00:00+1000,2020-08-11T00:00:00+1000,0,-0.0184,387439,0,27676788,172979923,21849000,140964058,false,,,,,,,,,,,2020-08-11 00:00:00.000
1AD,ADALTA LIMITED,ADALTA,ADALTA LIMITED,Drug discovery and development,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,2016-08-22T00:00:00+1000,,http://www.adalta.com.au,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",(03) 9479 5159,(02) 8583 3040,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,https://www.asx.com.au/asx/1/image/logo/1AD?image_size=L&v=1471491830000,1AD,true,"""shares""",02140456,2019-08-29T14:12:55+1000,2019-08-29T14:09:44+1000,http://www.asx.com.au/asxpdf/20190829/pdf/4480bvdwfp50ht.pdf,Annual Report to shareholders,false,56,AU0000001AD2,Ordinary Fully Paid,0.11,0.11,0.115,0.11,0.005,4.762%,792172,0.11,0.115,0.105,0%,0.18,2019-09-16T00:00:00+1000,0.04,2020-03-25T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0556,502341,0,17214289,163945613,18034000,163945613,false,,,,,,,,,,,2020-08-11 00:00:00.000
1AG,ALTERRA LIMITED,ALTERRA,ALTERRA LIMITED,"Alterra is an originator, developer and manager of agricultural land and water assets in Australia.",Commercial & Professional Services,Industrials,2008-05-16T00:00:00+1000,,http://www.alterra.com.au,"144 Northwood Street, WEST LEEDERVILLE, WA, AUSTRALIA, 6007",+61 8 9204 8400,+61 8 9204 8499,AUTOMIC REGISTRY SERVICES,"LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,false,https://www.asx.com.au/asx/1/image/logo/1AG?image_size=L&v=1586236779000,1AG,false,"""shares""",02195445,2020-01-24T16:41:51+1100,2020-01-24T15:36:39+1100,http://www.asx.com.au/asxpdf/20200124/pdf/44dhr7k0j6fn4f.pdf,Notice of 2019 Annual General Meeting and Proxy Form,false,92,AU0000001AG5,Ordinary Fully Paid,0.045,0.045,0.045,0.045,0.000,0%,5189,0.043,0.045,0.045,0%,0.048,2020-01-28T00:00:00+1100,0.028,2020-04-02T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0131,204542,0,6784996,150777688,6785000,150777688,false,,,,,,,,,,,2020-08-11 00:00:00.000
1AL,ONEALL INTERNATIONAL LIMITED,ONEALL,ONEALL IN LIMITED,"The Company is an outdoor furniture designer, manufacturer and distributor in China.",Consumer Durables & Apparel,Consumer Discretionary,2015-12-03T00:00:00+1100,,http://www.oneallinternational.com,"C/o LWPG & Partners, Level 5, 115 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9225 0200,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,1AL,true,"""shares""",02239591,2020-05-29T08:19:17+1000,2020-05-28T23:21:53+1000,http://www.asx.com.au/asxpdf/20200529/pdf/44j6j0yh2j6dmk.pdf,Annual Report FY2019,false,62,AU0000001AL5,Ordinary Fully Paid,0.2,0,0,0,0.0,0%,0,0.16,0.315,0.2,0%,0.86,2019-11-01T00:00:00+1100,0,2020-08-11T00:00:00+1000,2020-08-11T00:00:00+1000,8.58,0.0233,61872,0,26003184,130015920,0,130015920,false,,,,,,,,,,,2020-08-11 00:00:00.000
1ST,1ST GROUP LIMITED,1ST GROUP,1ST GROUP LTD,"1ST Group is a media and technology company building Australia's leading health services portal, MyHealth1st.com.au, Australia's online pet service portal PetYeti.com.au and corporate and government solutions platform GObookings.com.au.",Health Care Equipment & Services,Health Care,2015-06-09T00:00:00+1000,,http://www.1stgrp.com,"c/- Whittens & McKeough, Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 266 517,+61 2 8072 1440,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,https://www.asx.com.au/asx/1/image/logo/1ST?image_size=L&v=1508716639000,1ST,false,"""shares""",02152486,2019-09-27T17:24:55+1000,2019-09-27T17:20:19+1000,http://www.asx.com.au/asxpdf/20190927/pdf/448yys6tvtg77b.pdf,Annual Report to shareholders,false,62,AU0000001ST0,Ordinary Fully Paid,0.036,0.038,0.038,0.036,-0.003,-7.692%,2980284,0.035,0.037,0.039,8.333%,0.089,2019-11-26T00:00:00+1100,0.018,2020-03-25T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0151,4014157,0,16560059,424616903,15286000,424616903,false,,,,,,,,,,,2020-08-11 00:00:00.000
2BE,TUBI LIMITED,TUBI,TUBI LIMITED,"Manufacture of high density polyethylene pipe for industrial, irrigation, agricultural, mining and oil and gas services industries.",Energy,Energy,2019-06-14T00:00:00+1000,,http://www.tubigroup.com,"2 Hopetoun Street, PADDINGTON, NSW, AUSTRALIA, 2021",(02) 9331 8725,,BOARDROOM PTY LIMITED,"LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,false,,2BE,true,"""shares""",02139322,2019-08-28T08:21:32+1000,2019-08-28T08:13:33+1000,http://www.asx.com.au/asxpdf/20190828/pdf/447xwz27b2cppv.pdf,Appendix 4E & Annual Report,true,74,AU0000046799,Ordinary Fully Paid,0.092,0.1,0.1,0.09,-0.013,-12.381%,201639,0.092,0.095,0.105,0%,0.349,2019-08-28T00:00:00+1000,0.07,2020-03-31T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0082,158006,0,25529952,243142400,22369000,243142400,false,,,,,,,,,,,2020-08-11 00:00:00.000
360,LIFE360 INC.,LIFE360,LIFE360 INC.,Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,Software & Services,Information Technology,2019-05-10T00:00:00+1000,,http://www.life360.com,"Suite 402, 539 Bryant Street, SAN FRANCISCO, CA, UNITED STATES OF AMERICA, 94107",(209) 581 1772,,COMPUTERSHARE INVESTOR SERVICES PTY LIMITED,"Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,false,,360,false,"""shares""",02207506,2020-02-27T08:24:21+1100,2020-02-27T08:20:01+1100,http://www.asx.com.au/asxpdf/20200227/pdf/44fhtpykhqfzgz.pdf,Appendix 4E and Full Year Statutory Accounts,true,65,AU0000045098,Cdi 3:1 Us Person Prohibited Excluding Qib,3.89,3.95,3.95,3.8,-0.06,-1.519%,169776,3.8,3.89,3.95,1.804%,3.96,2020-08-07T00:00:00+1000,1.51,2020-03-23T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.3989,447663,0,607887687,153895617,575591000,147966906,false,XAO,,,,,,,,,,2020-08-11 00:00:00.000
3DA,AMAERO INTERNATIONAL LTD,AMAEROINT,AMAERO INTERNATIONAL,Additive Manufacturing,Capital Goods,Industrials,2019-12-06T00:00:00+1100,,http://www.amaero.com.au/,"Level 1, Tonsley Boulevard, CLOVELLY PARK, SA, AUSTRALIA, 5042",03 9905 9847,,AUTOMIC REGISTRY SERVICES,"Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,false,,3DA,false,"""shares""",,,,,,,,AU0000064578,Ordinary Fully Paid,0.22,0.23,0.24,0.22,-0.01,-4.348%,967171,0.22,0.23,0.23,12.195%,0.485,2019-12-06T00:00:00+1100,0.064,2020-03-23T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.025,288191,0,40216340,174853651,17701000,80457271,false,,,,,,,,,,,2020-08-11 00:00:00.000
3DP,POINTERRA LIMITED,POINTERRA,POINTERRA LIMITED,Cloud-based digital asset management platform for 3D data.  Software as a Service business model.,Software & Services,Information Technology,2008-03-27T00:00:00+1100,,http://www.pointerra.com,"Level 4, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",(08) 6268 2622,(08) 6268 2699,ADVANCED SHARE REGISTRY SERVICES,"110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,false,https://www.asx.com.au/asx/1/image/logo/3DP?image_size=L&v=1569574060000,3DP,false,"""shares""",02152589,2019-09-27T18:37:11+1000,2019-09-27T18:33:51+1000,http://www.asx.com.au/asxpdf/20190927/pdf/448z57r45cgj8v.pdf,2019 Annual Report,false,44,AU0000003DP6,Ordinary Fully Paid,0.23,0.255,0.255,0.225,-0.02,-8%,6161501,0.23,0.235,0.25,25%,0.255,2020-08-11T00:00:00+1000,0.015,2020-03-19T00:00:00+1100,2020-08-11T00:00:00+1000,0,-0.0036,3638286,0,166180778,664723112,152886000,664723112,false,,,,,,,,,,,2020-08-11 00:00:00.000
3PL,3P LEARNING LIMITED..,3PLEARNING,3P LEARNING LTD,"Information technology, software & services.",Consumer Services,Consumer Discretionary,2014-07-09T00:00:00+1000,,http://www.3plearning.com,"Level 18, 124 Walker Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 850 331,NA,LINK MARKET SERVICES LIMITED,"LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,false,,3PL,false,"""shares""",02136659,2019-08-22T08:40:56+1000,2019-08-22T08:28:56+1000,http://www.asx.com.au/asxpdf/20190822/pdf/447qgb1plbpp56.pdf,Appendix 4E and FY2019 Annual Report,true,82,AU0000003PL9,Ordinary Fully Paid,1.08,1.08,1.08,1.06,0.00,0%,103895,1.07,1.08,1.08,0.935%,1.165,2020-08-05T00:00:00+1000,0.6,2020-03-13T00:00:00+1100,2020-08-11T00:00:00+1000,74.48,0.0145,429492,0,150642904,139484170,150643000,139484170,false,XEC,,,,,,,,,,2020-08-11 00:00:00.000
